delay,pi_A,pi_O,w_A,w_O,avg_block_interval,avg_mainchain_interval
60000,0.28479,0.71521,0.993364,0.00812349,599592,648917
66666,0.28511,0.71489,0.993125,0.00896641,601195,656178
75000,0.28311,0.71689,0.991558,0.0100434,600210,662164
85714,0.28714,0.71286,0.990597,0.0113066,601014,671104
100000,0.28995,0.71005,0.990067,0.0141117,597707,679892
120000,0.28697,0.71303,0.989128,0.0157637,601053,699284
150000,0.28774,0.71226,0.985091,0.0217196,600040,722635
200000,0.29387,0.70613,0.977167,0.0269497,596169,758361
300000,0.30135,0.69865,0.969504,0.0421241,599418,837865
600000,0.32877,0.67123,0.945494,0.0882261,598289,1.03966e+06
900000,0.36045,0.63955,0.927896,0.136659,597376,1.20733e+06
1200000,0.38779,0.61221,0.915934,0.17971,602446,1.3568e+06
1500000,0.4197,0.5803,0.911127,0.219197,600141,1.47046e+06
1800000,0.45112,0.54888,0.909802,0.259638,598464,1.57212e+06
2100000,0.48411,0.51589,0.91568,0.304929,598303,1.64725e+06
2400000,0.51143,0.48857,0.911171,0.32982,599034,1.72673e+06
2700000,0.53707,0.46293,0.918167,0.364958,600010,1.78137e+06
3000000,0.56063,0.43937,0.917949,0.390832,600965,1.83678e+06
3300000,0.58521,0.41479,0.922865,0.42178,600327,1.88045e+06
3600000,0.61162,0.38838,0.929662,0.446753,597653,1.89707e+06
3900000,0.62963,0.37037,0.935168,0.475254,599689,1.94473e+06
4200000,0.65628,0.34372,0.936171,0.499535,601930,1.97443e+06
4500000,0.67256,0.32744,0.940704,0.520614,601973,1.99714e+06
4800000,0.69639,0.30361,0.946697,0.547215,600080,2.01857e+06
5100000,0.71001,0.28999,0.951325,0.564537,600116,2.03815e+06
5400000,0.73615,0.26385,0.955553,0.592003,599145,2.0352e+06
5700000,0.74167,0.25833,0.956423,0.591259,601805,2.07167e+06
6000000,0.75585,0.24415,0.959476,0.613844,599928,2.07432e+06
