delay,pi_A,pi_O,w_A,w_O,avg_block_interval
60000,0.1023,0.8977,1,0.000969143,598256
66666,0.10121,0.89879,0.999901,0.00119049,599078
75000,0.10165,0.89835,1,0.00125786,597733
85714,0.09993,0.90007,1,0.0016221,602500
100000,0.10039,0.89961,1,0.00166739,599366
120000,0.10199,0.89801,0.999902,0.00201557,600131
150000,0.10408,0.89592,0.99952,0.00279043,601176
200000,0.10155,0.89845,0.999508,0.00362847,599176
300000,0.10616,0.89384,0.999717,0.00657836,597561
600000,0.11278,0.88722,0.999025,0.0149906,598157
900000,0.12194,0.87806,0.997868,0.0257044,599735
1200000,0.13492,0.86508,0.998369,0.0389328,601573
1500000,0.15118,0.84882,0.997883,0.0551943,601137
1800000,0.16763,0.83237,0.997077,0.0753031,598979
2100000,0.18237,0.81763,0.995833,0.0928048,600470
2400000,0.20499,0.79501,0.995414,0.113986,599982
2700000,0.22259,0.77741,0.995283,0.136543,599107
3000000,0.24514,0.75486,0.995064,0.162971,599222
3300000,0.26766,0.73234,0.994769,0.185611,600271
3600000,0.29018,0.70982,0.994038,0.212575,600414
3900000,0.31854,0.68146,0.994224,0.243154,600544
4200000,0.34371,0.65629,0.994181,0.271648,601153
4500000,0.36873,0.63127,0.99463,0.294438,600752
4800000,0.39538,0.60462,0.994866,0.328372,600227
5100000,0.42026,0.57974,0.994575,0.35578,599823
5400000,0.44945,0.55055,0.995394,0.382672,600570
5700000,0.47116,0.52884,0.995713,0.412563,599771
6000000,0.49163,0.50837,0.994467,0.432874,601023
